STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
219392,KANDİLLİ,Üsküdar,ÜSKÜDAR,DİĞER,41.0741039660421,29.0586539666273
125782,HASTANE,Bahçelievler,Y.BOSNA METRO,CCMODERNDR,41.0220120005571,28.8392819999846
110762,PİKNİK ALANI-1,Basaksehir,KAYABASI,İETTCAMLI,41.1443249991136,28.7758400000091
110792,13.BÖLGE,Basaksehir,KAYASEHIR,CCMODERN,41.1371590005756,28.7879109999818
130391,ŞEHİT HÜSEYİN KISA,Esenler,DAVUTPASA,İETTBAYRAK,41.0488790005614,28.8676559999856
177872,YOSUN SOKAK,Esenyurt,TÜYAP,İETTBAYRAK,41.0292619564737,28.6561959659988
221621,MECİDİYE CADDESİ,Sultanbeyli,KADIKÖY,İETTCAMLI,40.9529580005464,29.3026389999941
113722,KARANFİLKÖY,Besiktas,MERKEZ,WALLMODERN,41.0899340005682,29.0257109999899
113742,PARK,Besiktas,BASIN SITESI,İETTBAYRAK,41.0847660005673,29.0207839999898
110962,PİKNİK ALANI-2,Basaksehir,KAYABASI,İETTCAMLI,41.1357090005752,28.7623729999804
114292,ULU CADDESİ,Sariyer,MASLAK,İETTBAYRAK,41.130693994904,29.0313519800933
224361,VALİDEBAĞ,Kadiköy,ACIBADEM,İETTBAYRAK,41.0119400005557,29.0383379999904
126892,İZZET ÜNVER ANADOLU İMAM HATİP LİSESİ,Güngören,B.DEVLET HAST,İETTBAYRAK,41.0176720005565,28.8703689999858
104252,KÖPRÜ,Küçükçekmece,ATAKENT,İSTON GENİŞ,41.0443250005606,28.7740449999813
104912,İSTASYON  MAHALLESİ MUHTARLIĞI,Küçükçekmece,ISPARTAKULE,İETTBAYRAK,41.028380000558,28.7765459999815
122602,BAĞLAR,Küçükçekmece,AVCILAR,İSTON GENİŞ,40.9874890005515,28.7896169999824
208261,FİLİZ SOKAK,Pendik,PARSELLER,İETTBAYRAK,40.8878850005361,29.281319999994
209514,HABİRE YAHŞİ ANADOLU LİSESİ,Atasehir,KADIKÖY,AÇIK DURAK,40.9875149640392,29.094678039339
228291,ALANALDI CADDESİ ,Atasehir,KADIKÖY,İETTBAYRAK,40.9647730005483,29.1145869999918
